Merlin(Q1176076),wd:1476 (title),Merlin (English)
Merlin(Q1176076),wd:P31 (instance of),television series
Merlin(Q1176076),wd:P345 (IMDb ID),tt1199099
Merlin(Q1176076),wd:P138 (named after),Merlin
Merlin(Q1176076),wd:P144 (based on),Arthurian romance
Merlin(Q1176076),wd:P136 (genre),fantasy television series
Merlin(Q1176076),wd:P136 (genre),adventure television series
Merlin(Q1176076),wd:PP136 (genre),drama television series
Merlin(Q1176076),wd:P449 (original broadcaster),BBC One
Merlin(Q1176076),wd:P495 (country of origin),United Kingdom
Merlin(Q1176076),wd:P364 (original language of film or TV show),English
Merlin(Q1176076),wd:P580 (start time),20 September 2008
Merlin(Q1176076),wd:P582 (end time),24 December 2012