Subject,Predicate,Object
sits:item_tapestry,dcterms:source,https://www.metmuseum.org/art/collection/search/467528
sits:item_tapestry,crm:P138_represents,sits:person_King_Arthur
sits:item_tapestry,crm:P102_has_title,King Arthur (from the Heroes Tapestries)
sits:item_tapestry,rdf:type,aat:300205002
sits:item_tapestry,rdf:type,aat:300386843
sits:item_tapestry,schema:height,426.7 cm
sits:item_tapestry,schema:width,297.2 cm
sits:item_tapestry,crm:P45_consists_of,aat:300243430
sits:item_tapestry,crm:P4_has_time-span,sits:period_Middle_Ages
sits:item_tapestry,schema:dateCreated,1400â€“1410
sits:item_tapestry,schema:locationCreated,wd:Q6581823
sits:item_tapestry,crm:P32_used_general_technique,aat:300020786
sits:item_tapestry,crm:P46i_forms_part_of,wd:Q77603420
sits:item_tapestry,crm:P51_has_former_or_current_owner,viaf:102321347
sits:item_tapestry,crm:P50_has_current_keeper,sits:thing_Metropolitan
sits:item_tapestry,crm:P46i_forms_part_of,The Cloisters collection
sits:item_tapestry,dcterms:identifier,32.130.3a
sits:item_tapestry,dcterms:dateAccepted,1932
sits:item_tapestry,crm:P23_transferred_title_from,viaf:74660028


